name,quadrant,is_new
Provisioning testing,Techniques,false
Spark,Tools,false
ECharts,Languages & Frameworks,false
Static site generators,Techniques,false
GemJars,Tools,false
Repsheet,Tools,false
Zucchini,Tools,false
Faraday,Tools,false
Apache Kylin,Platforms,false
Web API,Languages & Frameworks,false
Go language,Languages & Frameworks,false
Quarkus,Languages & Frameworks,false
Play Framework 2,Languages & Frameworks,false
High performance envy/web scale envy,Techniques,false
Polyglot Persistence,Techniques,false
Automated machine learning (AutoML),Techniques,false
Use remote-native processes and approaches,Techniques,false
Lambda pinball,Techniques,false
Database migrations for NoSQL,Techniques,false
Nancy,Languages & Frameworks,false
Ant,Tools,false
Nuance Mix,Platforms,false
Heroku,Platforms,false
Scala,Languages & Frameworks,false
jest-when,Languages & Frameworks,false
GCP Pub/Sub,Platforms,false
FPM,Tools,false
Future of Java,Languages & Frameworks,false
Styled components,Languages & Frameworks,false
Traveling Ruby,Languages & Frameworks,false
Versioning data for reproducible analytics,Techniques,false
WireMock,Tools,false
Netflix OSS Full stack,Platforms,false
Contentful,Platforms,false
Cilium,Tools,false
Caching reverse proxies,Tools,false
PowerShell,Tools,false
CSS-in-JS,Languages & Frameworks,false
New Relic beyond Rails,Tools,false
dbt,Tools,false
React Native,Languages & Frameworks,false
AppHarbor,Platforms,false
"SASS, SCSS, LESS, and Stylus",Languages & Frameworks,false
Semantic monitoring,Techniques,false
BEM,Techniques,false
Windows infrastructure automation,Techniques,false
Jest,Languages & Frameworks,false
Require.js & NPM,Languages & Frameworks,false
Responsive web design,Techniques,false
Pa11y,Tools,false
CircleCI,Tools,false
Druid,Languages & Frameworks,false
Flux,Techniques,false
Tarantool,Platforms,false
JavaScript as a first class language,Languages & Frameworks,false
Stratos,Platforms,false
Consumer-driven contract testing,Techniques,false
Thoughtful caching,Techniques,false
In-process acceptance testing,Techniques,false
Pulumi,Platforms,false
Chaos Toolkit,Languages & Frameworks,false
Powershell,Tools,false
Recreating ESB antipatterns with Kafka,Techniques,false
Testing using real device,Techniques,false
Pageify,Tools,false
Redis,Platforms,false
Decentralized identity,Techniques,false
BackstopJS,Tools,false
Mermaid,Tools,false
Gorilla REPL,Tools,false
RIA,Platforms,false
HTML 5 for offline applications,Languages & Frameworks,false
Event API’s,Techniques,false
Android-x86,Tools,false
Koin,Languages & Frameworks,false
Opinionated and automated code formatting,Techniques,false
Apache Atlas,Platforms,false
Galen,Tools,false
tmate,Tools,false
AsyncAPI,Tools,false
iBeacon,Platforms,false
AVA,Tools,false
Lightweight Architecture Decision Records,Techniques,false
TensorFlow Serving,Platforms,false
MeiliSearch,Platforms,false
Claudia,Tools,false
Matomo,Platforms,false
Infrastructure automation of development workstations,Techniques,false
Automated deployment pipeline,Techniques,false
Yocto Project,Tools,false
Application Servers,Platforms,false
Legacy in a box,Techniques,false
Hadoop 2.0,Platforms,false
Heptio Ark,Tools,false
OpenAM,Platforms,false
JavaScript MV* frameworks,Languages & Frameworks,false
Composer,Tools,false
Unity beyond gaming,Platforms,false
Test at the appropriate level,Techniques,false
Long-lived branches with Gitflow,Techniques,false
HTML5 for offline applications,Languages & Frameworks,false
OpenStack,Platforms,false
Node overload,Platforms,false
Azure Service Fabric,Platforms,false
Append-only data store,Techniques,false
AWSume,Tools,false
OpenSocial,Platforms,false
Continuous integration in the cloud,Platforms,false
Phrase,Tools,false
Dojo,Tools,false
Grunt.js,Tools,false
Apache Pulsar,Platforms,false
Pragmatic remote pairing,Techniques,false
WebVR,Platforms,false
Clinic.js Bubbleprof,Languages & Frameworks,false
Groovy,Languages & Frameworks,false
ONNX,Platforms,false
WebAssembly,Languages & Frameworks,false
Apollo,Languages & Frameworks,false
Pipelines as code,Techniques,false
CSS Grid Layout,Languages & Frameworks,false
HAL,Languages & Frameworks,false
Papertrail,Tools,false
Application appliances,Platforms,false
Airflow,Tools,false
Time series databases,Platforms,false
Ethical bias testing,Techniques,false
Flight.js,Languages & Frameworks,false
GenyMotion,Tools,false
Kong API Gateway,Tools,false
TensorFlow Mobile,Languages & Frameworks,false
Dropwizard,Languages & Frameworks,false
RPA,Techniques,false
Language Server Protocol,Platforms,false
Hyperledger Composer,Languages & Frameworks,false
RAML,Tools,false
Offline first web applications,Techniques,false
Prophet,Platforms,false
CoreOS,Platforms,false
Event streaming as the source of truth,Techniques,false
Marquez,Platforms,false
Vumi,Platforms,false
Security Monkey,Tools,false
Mesosphere DCOS,Platforms,false
Continuous deployment,Techniques,false
FBSnapshotTestcase,Tools,false
Presto,Platforms,false
Request-response events in user-facing workflows,Techniques,false
Visual Studio Live Share,Tools,false
Mechanical sympathy,Techniques,false
Gauge,Tools,false
Ruby/Jruby,Languages & Frameworks,false
Auth0,Platforms,false
Jib,Tools,false
Cylon.js,Languages & Frameworks,false
Tensorflow Eager Execution,Languages & Frameworks,false
Protractor for AngularJS,Tools,false
Swift,Languages & Frameworks,false
D3,Tools,false
Neo4J,Platforms,false
vFabric,Platforms,false
Data mesh,Techniques,false
Windows Containers,Platforms,false
Kubeflow,Tools,false
Progressive Web Applications,Techniques,false
Intentional Software,Tools,false
Google Wave,Tools,true
Log aggregation for business analytics,Techniques,false
Spark Photon/Spark Electron,Platforms,false
Browser-based templating,Tools,false
Git,Tools,false
Long lived branches with Gitflow,Techniques,false
Declarative data pipeline definition,Techniques,false
Server / application container end-of-life,Techniques,false
Require.js,Languages & Frameworks,false
Performance testing as a first-class citizen,Techniques,false
Domain-Specific Languages,Languages & Frameworks,false
ERNIE,Languages & Frameworks,false
Release train,Techniques,false
Client-side MVC,Tools,false
kube-bench,Tools,false
JVM as platform,Platforms,false
Algorithmic IT operations,Techniques,false
Tailwind CSS,Languages & Frameworks,false
Storm,Platforms,false
GraphQL for server side resource aggregation,Techniques,false
Templating in YAML,Techniques,false
CloudEvents,Platforms,false
Event Storming,Techniques,false
Julia,Languages & Frameworks,false
Tendermint,Platforms,false
Docker,Platforms,false
Pumba,Tools,false
Build pipelines,Techniques,false
Co-location by telepresence,Techniques,false
Hosting PII data in the EU,Techniques,false
Fetch,Languages & Frameworks,false
Spec-based codegen,Techniques,false
Immutable servers,Tools,false
Git based CMS/Git for non-code,Techniques,false
Stolon,Tools,false
Elasticsearch LTR,Tools,false
Amazon API Gateway,Platforms,false
WeChat,Platforms,false
Taurus,Tools,false
Jupyter for automated testing,Techniques,false
Ruby,Languages & Frameworks,false
Apache Mesos,Platforms,false
Debezium,Platforms,false
Splunk,Tools,false
Crowdin,Platforms,false
Deflect,Platforms,false
Yeoman,Languages & Frameworks,false
Realm,Platforms,false
Minimizing application configuration,Techniques,false
Clojure,Languages & Frameworks,false
Laconia,Languages & Frameworks,false
Mercurial,Tools,false
jsoniter,Tools,false
GraphQL for server-side resource aggregation,Techniques,false
Maven,Tools,false
JupyterLab,Platforms,false
Testing as a separate organization,Techniques,false
Capturing client-side JavaScript errors,Techniques,false
Ubiquitous computing,Platforms,false
GraalVM,Platforms,false
Immutable.js,Languages & Frameworks,false
Blue-green deployment,Techniques,false
CMS as a platform,Platforms,false
Reagent,Languages & Frameworks,false
Selenium 2 testing of mobile websites,Tools,false
Graphite,Tools,false
